,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
3818,Aug,2,Sunday,Honda,Rural,Monday,Aug,3,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3819,15,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
2016,Mar,5,Thursday,Toyota,Urban,Monday,Apr,2,Male,Married,44,Third Party,Sedan - All Perils,Sedan,less than 20000,0,2017,11,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,All Perils
2356,Jun,5,Tuesday,Honda,Urban,Thursday,Jun,5,Female,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2357,16,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
3134,Aug,2,Sunday,Toyota,Urban,Tuesday,Aug,2,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3135,4,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
11027,Mar,1,Friday,Pontiac,Urban,Monday,Mar,1,Female,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11028,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
809,May,3,Wednesday,Mazda,Urban,Wednesday,May,3,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,810,14,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
6620,Sep,4,Saturday,Pontiac,Rural,Tuesday,Oct,1,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,6621,16,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
11876,May,2,Friday,Toyota,Urban,Tuesday,Jun,2,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,11877,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils
5280,Feb,3,Friday,Mazda,Urban,Thursday,Feb,4,Male,Married,51,Policy Holder,Utility - All Perils,Utility,more than 69000,0,5281,6,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
8049,Jul,2,Tuesday,VW,Urban,Tuesday,Jul,2,Male,Married,61,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,8050,9,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
10173,Feb,1,Friday,Toyota,Urban,Tuesday,Feb,2,Male,Married,49,Third Party,Sedan - Liability,Sport,30000 to 39000,0,10174,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
14912,Sep,3,Friday,Pontiac,Urban,Friday,Sep,3,Female,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14913,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
11875,May,3,Monday,Pontiac,Rural,Wednesday,May,3,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11876,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
401,Jun,1,Thursday,Pontiac,Urban,Thursday,Jun,1,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,402,15,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
7615,Nov,3,Monday,Chevrolet,Urban,Wednesday,Nov,3,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7616,3,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
13146,Feb,4,Sunday,Toyota,Rural,Wednesday,Mar,1,Male,Married,58,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13147,7,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Liability
3404,Oct,2,Saturday,Pontiac,Urban,Friday,Oct,2,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,3405,5,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
6476,Jun,1,Monday,Honda,Urban,Wednesday,Dec,3,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,6477,8,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Collision
10215,Oct,5,Sunday,Pontiac,Urban,Monday,Nov,2,Male,Single,20,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10216,7,400,1,more than 30,more than 30,2 to 4,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6801,Jul,1,Sunday,Toyota,Rural,Tuesday,Jul,1,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6802,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
2395,Jun,3,Wednesday,Mazda,Urban,Wednesday,Jun,3,Male,Single,31,Policy Holder,Sedan - Liability,Sport,less than 20000,0,2396,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
8090,Jul,3,Monday,Mazda,Urban,Monday,Jul,3,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8091,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
6291,Jun,2,Tuesday,Toyota,Urban,Thursday,Jun,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6292,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6102,Dec,1,Saturday,Saab,Urban,Monday,Dec,1,Male,Married,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6103,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
2474,Mar,2,Saturday,Mazda,Urban,Thursday,Mar,4,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2475,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
1274,Sep,3,Monday,Chevrolet,Urban,Wednesday,Sep,4,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1275,8,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,1 year,1 vehicle,1994,Collision
1969,Jan,3,Tuesday,Pontiac,Urban,Thursday,Jan,3,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1970,2,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
